,Ratio
2014-04-06,9.84510813961
2014-04-13,11.1973338523
2014-04-20,10.5377793912
2014-04-27,9.65697456183
2014-05-04,7.30402807956
2014-05-11,11.0692225347
2014-05-18,9.94374354199
2014-05-25,11.0858160942
2014-06-01,10.5589337776
2014-06-08,11.527832351
2014-06-15,13.5398235396
2014-06-22,10.6358283505
2014-06-29,10.5934907466
2014-07-06,9.75743482124
2014-07-13,10.0903065033
2014-07-20,9.83528457757
2014-07-27,9.88276558645
2014-08-03,4.47747009278
2014-08-10,10.4168280978
2014-08-17,10.6060124907
2014-08-24,10.3815955281
2014-08-31,10.6437588689
2014-09-07,9.15937720188
2014-09-14,9.72934197376
2014-09-21,10.8544258201
2014-09-28,10.7079570625
2014-10-05,
2014-10-12,
2014-10-19,
2014-10-26,
2014-11-02,
2014-11-09,
2014-11-16,
2014-11-23,
2014-11-30,
2014-12-07,
2014-12-14,
2014-12-21,
2014-12-28,
2015-01-04,9.4091957793
2015-01-11,9.51656918456
2015-01-18,8.95792127554
2015-01-25,10.6213252987
2015-02-01,9.95094364687
2015-02-08,9.14694958388
2015-02-15,8.79408453798
2015-02-22,11.304855006
2015-03-01,9.96338855543
2015-03-08,8.89047839441
2015-03-15,9.08857071048
2015-03-22,9.21544420465
2015-03-29,7.49406754493
2015-04-05,9.13901200838
2015-04-12,9.58627010361
2015-04-19,8.87350504261
2015-04-26,13.6202180215
2015-05-03,9.17800265428
2015-05-10,8.06945561271
2015-05-17,9.47944214253
2015-05-24,7.75719295967
2015-05-31,8.85265005834
2015-06-07,8.95169106136
2015-06-14,9.24729784296
2015-06-21,8.47298435096
2015-06-28,13.987278504
